,Repository Path,Copy Path,Corrected File Path,Duplicate Files,File Size,Date of File Creation,Line/Pixel Count,Page Number
96,./repository/6/221/330/841/622/830/473/248,./extractedFiles/a8a4237403822f6fa194dd80b331226d.jpg,./extractedFiles/a8a4237403822f6fa194dd80b331226d.txt,,1445,2019-10-18 11:28:04.972592,26,[Pg 101]
97,./repository/846/464/424/784/802/473/002,./extractedFiles/200c3974bc2084f8e74244a64ccf648a.jpg,./extractedFiles/200c3974bc2084f8e74244a64ccf648a.txt,,1497,2019-10-18 11:28:04.987384,21,[Pg 102]
98,./repository/552/376/650/483/801/007,./extractedFiles/7c001a990c8ae3840cb56b673259bff5.txt,./extractedFiles/7c001a990c8ae3840cb56b673259bff5.txt,,1310,2019-10-18 11:28:04.982760,19,[Pg 103]
99,./repository/1/468/665/807/375/260/060,./extractedFiles/a06af0062d57c37c0a85fb6c68964cf1.txt,./extractedFiles/a06af0062d57c37c0a85fb6c68964cf1.txt,,1236,2019-10-18 11:28:04.975619,21,[Pg 104]
100,./repository/8/840/725/871/467/006,./extractedFiles/e6b0f07af641fc9fc9d97c852704e8c8.txt,./extractedFiles/e6b0f07af641fc9fc9d97c852704e8c8.txt,,1252,2019-10-18 11:28:04.977782,21,[Pg 105]
101,./repository/3/233/324/542/351/514/656,./extractedFiles/656e41abd5daff1532945b4c2333bb23.jpg,./extractedFiles/656e41abd5daff1532945b4c2333bb23.txt,,1353,2019-10-18 11:28:04.996404,22,[Pg 106]
102,./repository/58/452/680/726/375/685,./extractedFiles/5e8cef6af573627cf0ba8be6ca25b485.jpg,./extractedFiles/5e8cef6af573627cf0ba8be6ca25b485.txt,,738,2019-10-18 11:28:04.957344,11,[Pg 107]
103,./repository/8/642/555/373/181/421,./extractedFiles/fc1fe294c18a19bc3739955e5246a8bc.txt,./extractedFiles/fc1fe294c18a19bc3739955e5246a8bc.txt,,293,2019-10-18 11:28:04.977047,5,[Pg 108]
104,./repository/0/187/558/100/855/137/076/001,./extractedFiles/f100670b7fe31558001cef855cc781c0.jpg,./extractedFiles/f100670b7fe31558001cef855cc781c0.txt,,64,2019-10-18 11:28:04.965817,1,[Pg 109]
105,./repository/7/200/685/086/031/843,./extractedFiles/3a48139dd06acefae8e09586f002ec7c.txt,./extractedFiles/3a48139dd06acefae8e09586f002ec7c.txt,,22,2019-10-18 11:28:04.969766,3,[Pg 110]
